name,PlantPartHarvested,parent,AvMoisture,AvN,AvP,AvK
Abelmoschus esculentus,Fruit,Vegetable,88.00,2.67,0.53,2.33
Bromus inermis,Aboveground biomass,Forage,71.30,1.89,0.28,2.33
Persea americana,Fruit,Tree and fruit,74.27,1.23,0.16,2.33
Pennisetum purpureum,Aboveground biomass,Forage,79.80,0.89,0.44,2.32
Bromus sp.,Aboveground biomass,Forage,12.90,1.19,0.35,2.32
Persea americana,Fruit,Tree and fruit,72.56,1.23,0.15,2.31
Dioscorea sp.,Tuber,Vegetable,74.00,1.11,0.25,2.31
Bromus inermis,Aboveground biomass,Forage,6.83,0.98,0.19,2.31
Phaseolus vulgaris,Fruit,Vegetable,87.75,3.00,0.50,2.30
Carica papaya,Fruit,Tree and fruit,88.83,0.87,0.04,2.30
Sorghum bicolor ssp. drummondii,Aboveground biomass,Forage,82.05,2.55,0.41,2.28
Medicago sativa,Aboveground biomass,Forage,78.34,3.49,0.34,2.27
Vica villosa,Aboveground biomass,Forage,78.25,3.75,0.33,2.25
Trifolium repens,Aboveground biomass,Forage,9.73,3.09,0.35,2.25
Medicago sativa. Phleum pratense,Aboveground biomass,Forage,78.08,3.36,0.37,2.24
Medicago Sativa. Phleum pratense,Aboveground biomass,Forage,78.08,3.36,0.37,2.24
Vica sativa,Aboveground biomass,Forage,12.20,2.60,0.36,2.24
Avena sativa,Straw,Cereal and oil,10.20,0.73,0.10,2.23
Capsicum annuum var. annuum,Fruit,Vegetable,91.00,1.42,0.31,2.22
Lathyrus sylvestris,Aboveground biomass,Forage,73.00,4.22,0.37,2.22
Trifolimu repens. Phleum pratense,Aboveground biomass,Forage,70.60,3.17,0.20,2.22
Phleum pratense. Trifolium repens,Aboveground biomass,Forage,70.60,3.17,0.20,2.22
Bromus inermis,Aboveground biomass,Forage,10.48,2.03,0.23,2.20
Agrostis alba,Aboveground biomass,Forage,73.57,2.03,0.38,2.20
Bromus sp.,Aboveground biomass,Forage,64.40,2.14,0.29,2.19
Prunus armeniaca,Fruit,Tree and fruit,86.35,1.64,0.14,2.17
Tetragonia tetragonioides,Leaf,Vegetable,94.00,4.00,0.47,2.17
Medicago sativa. Phleum pratense,Aboveground biomass,Forage,10.37,2.17,0.21,2.16
Medicago Sativa. Phleum pratense,Aboveground biomass,Forage,10.37,2.17,0.21,2.16
Trofolium repens,Aboveground biomass,Forage,8.90,2.53,0.25,2.16
Sorghum bicolor ssp. drummondii,Aboveground biomass,Forage,7.83,1.78,0.29,2.15
Avena sativa,Aboveground biomass,Forage,73.43,1.45,0.34,2.15
Cucurbita pepo var. melopepo,Fruit,Vegetable,93.00,2.74,0.51,2.14
Capsicum annuum var. annuum,Fruit,Vegetable,92.50,2.18,0.38,2.14
Poa sp.,Aboveground biomass,Forage,64.30,2.35,0.29,2.14
Cynodon dactylon,Aboveground biomass,Forage,75.00,2.75,0.23,2.13
Medicago sativa,Aboveground biomass,Forage,9.65,2.79,0.26,2.12
Paspalum notatum,Aboveground biomass,Forage,69.70,1.32,0.17,2.06
Psidium guajava,Fruit,Tree and fruit,86.10,0.94,0.18,2.04
Helianthus tuberosus,Tuber,Vegetable,80.07,1.52,0.30,2.02
Poa pratensis,Aboveground biomass,Forage,65.35,2.12,0.28,2.01
Eriobotrya japonica,Fruit,Tree and fruit,86.73,0.52,0.20,2.00
Solanum tuberosum,Tuber,Vegetable,77.20,1.61,0.25,2.00
Poa pratensis,Aboveground biomass,Forage,69.38,2.30,0.31,1.99
